Count,LabelObj,O1,P1
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,103,5.437
7,7,142,64.388
8,8,97,48.206
9,9,174,28.078
10,10,112,100
11,11,71,6.03
12,12,80,94.18
13,13,132,100
14,14,65535,8.372
15,15,126,61.781
16,16,187,88.367
17,17,65535,0.347
18,18,100,94.493
19,19,124,17.694
20,20,154,15.195
21,255,112,6.188
1,1,0,0
2,2,25,7.395
3,3,0,0
4,4,0,0
5,5,38,0.538
6,6,0,0
7,7,47,48.056
8,8,0,0
9,9,0,0
10,10,56,4.938
11,11,0,0
12,12,0,0
13,13,0,0
14,14,67,6.034
15,15,67,41.473
16,16,73,8.943
17,17,79,58.121
18,18,85,3.581
19,19,0,0
20,20,0,0
21,21,95,18.794
22,22,97,17.842
23,23,0,0
24,24,0,0
25,25,9,65.668
26,26,0,0
27,27,255,2.553
28,28,62,3.676
29,29,0,0
30,30,0,0
31,31,124,43.669
32,32,148,15.174
33,33,0,0
34,34,255,3.376
35,35,0,0
36,36,0,0
37,37,0,0
38,38,139,40.694
39,39,117,21.531
40,40,159,8.239
41,41,0,0
42,42,255,5.946
43,43,151,50.585
44,44,0,0
45,45,0,0
46,46,37,99.598
47,47,0,0
48,48,176,18.43
49,49,177,0.542
50,50,196,29.896
51,51,0,0
52,52,0,0
53,53,129,13.514
54,54,166,37.398
55,55,3,13.805
56,56,0,0
57,57,103,46.763
58,58,0,0
59,59,0,0
60,60,203,0.83
61,61,0,0
62,62,0,0
63,63,0,0
64,64,0,0
65,65,0,0
66,66,0,0
67,255,37,1.433
1,1,0,0
2,2,0,0
3,3,0,0
4,4,53,13.024
5,5,92,27.532
6,6,89,39.523
7,7,0,0
8,8,98,16.794
9,9,97,35.953
10,10,100,17.333
11,11,255,3.34
12,12,0,0
13,13,62,38.527
14,14,141,69.737
15,15,124,62.534
16,16,51,7.424
17,17,141,9.756
18,18,174,29.487
19,19,178,15.842
20,20,0,0
21,21,124,17.417
22,22,0,0
23,23,103,73.156
24,24,149,56.352
25,25,126,14.634
26,26,206,28.929
27,27,158,95.872
28,28,161,29.358
29,29,0,0
30,30,86,19.122
31,31,195,45.428
32,32,195,97.954
33,33,211,80.769
34,34,0,0
35,35,0,0
36,36,0,0
37,37,58,36.765
38,38,0,0
39,39,76,6.863
40,40,0,0
41,255,195,4.057
1,1,8,1.77
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,91,5.45
8,8,61,11.417
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,30,0.465
14,14,0,0
15,15,56,67.327
16,16,0,0
17,17,0,0
18,18,72,36.174
19,19,62,4.774
20,20,85,81.619
21,21,95,36.271
22,22,70,83.71
23,23,29,76.355
24,24,40,49.958
25,25,64,66.667
26,26,54,81.154
27,27,109,80
28,28,95,51.953
29,29,0,0
30,30,0,0
31,31,82,87.589
32,32,0,0
33,33,130,24.179
34,34,2,72.748
35,35,0,0
36,36,0,0
37,37,57,1.282
38,255,29,3.143
1,1,16,6.138
2,2,0,0
3,3,0,0
4,4,28,25.627
5,5,17,91.521
6,6,0,0
7,7,1,49.029
8,8,0,0
9,9,0,0
10,10,0,0
11,255,17,3.774
,,1,0
1,1,23,35.097
2,2,27,37.69
3,3,135,36.074
4,4,22,99.558
5,5,31,99.608
6,6,59,100
7,7,21,100
8,8,126,97.619
9,255,59,15.517
1,1,6,96.613
2,2,0,0
3,3,10,57.09
4,255,6,21.622
1,1,0,0
2,2,24,33.333
3,3,53,69.544
4,4,133,96.759
5,5,255,0.957
6,6,133,97.717
7,255,133,26.136
1,1,6,39.461
2,2,8,68.505
3,3,0,0
4,4,0,0
5,5,33,57.534
6,6,47,10.362
7,7,42,29.02
8,8,2,65.025
9,9,36,28.86
10,10,0,0
11,11,17,91.608
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,255,17,3.285
,,1,0
1,1,60,16.182
2,2,17,36.084
3,3,0,0
4,4,23,94.848
5,5,20,0.28
6,6,33,3.894
7,7,0,0
8,8,31,13.629
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,39,89.488
14,14,0,0
15,15,0,0
16,16,0,0
17,17,43,29.553
18,18,44,35.688
19,19,39,4.878
20,20,46,0.359
21,21,0,0
22,22,49,24
23,23,51,2.544
24,24,0,0
25,25,54,38.9
26,26,56,21.041
27,27,62,7.154
28,28,0,0
29,29,159,8.383
30,30,0,0
31,31,0,0
32,32,65,22.187
33,33,67,17.181
34,34,0,0
35,35,74,25.779
36,36,0,0
37,37,77,14.192
38,38,38,25.279
39,39,108,0.474
40,40,110,13.889
41,41,93,62.76
42,42,0,0
43,43,54,6.676
44,44,74,30.804
45,45,0,0
46,46,0,0
47,47,107,6.782
48,48,0,0
49,49,0,0
50,50,0,0
51,51,0,0
52,52,0,0
53,53,120,64.336
54,54,0,0
55,55,65,21.52
56,56,115,90.909
57,57,0,0
58,58,0,0
59,59,186,22.057
60,60,140,34.802
61,61,0,0
62,62,65,75.591
63,63,0,0
64,64,57,2.809
65,65,107,20.088
66,66,0,0
67,67,44,66.721
68,68,153,31.995
69,69,0,0
70,70,0,0
71,71,0,0
72,72,0,0
73,73,0,0
74,255,65,2.785
1,1,0,0
2,2,0,0
3,3,12,64.502
4,4,13,100
5,5,14,46.524
6,6,13,60.886
7,7,0,0
8,8,26,100
9,9,29,16.409
10,10,29,49.077
11,11,34,14.097
12,12,35,50.118
13,13,42,55.882
14,14,47,66.798
15,15,0,0
16,16,69,4.615
17,17,66,0.427
18,18,0,0
19,19,0,0
20,20,86,5.855
21,21,87,23.318
22,22,49,18.232
23,23,105,6.667
24,24,54,11.14
25,25,91,12.512
26,26,0,0
27,27,103,4.167
28,28,255,1.384
29,29,0,0
30,30,255,1.481
31,31,110,28.539
32,32,0,0
33,33,30,32.766
34,34,0,0
35,35,111,83.183
36,36,146,5.917
37,37,0,0
38,38,167,80.066
39,39,81,23.482
40,40,0,0
41,41,132,33.105
42,42,119,34.081
43,43,107,98.031
44,44,190,15.318
45,45,9,93.659
46,46,0,0
47,47,0,0
48,48,120,21.552
49,49,0,0
50,50,0,0
51,255,9,2.578
1,1,0,0
2,2,12,2.395
3,3,0,0
4,4,0,0
5,5,66,0.437
6,6,69,58.883
7,7,0,0
8,8,88,2.513
9,9,0,0
10,10,0,0
11,11,0,0
12,12,93,36.15
13,13,61,65.821
14,14,52,24.413
15,15,255,0.372
16,16,0,0
17,17,153,65.929
18,255,105,4.673
1,1,1,90.169
2,2,5,41.973
3,3,12,12.308
4,4,0,0
5,5,0,0
6,6,0,0
7,7,68,20
8,8,69,82.877
9,9,76,53.043
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,32,93.28
15,15,80,8.656
16,16,110,87.225
17,17,148,0.885
18,18,82,49.858
19,19,129,1.439
20,20,12,26.603
21,21,49,98.457
22,22,47,92.905
23,23,77,56.303
24,24,11,8.571
25,25,216,21.739
26,26,127,57.097
27,27,146,65.179
28,28,190,64.015
29,29,0,0
