Count,LabelObj,O1,P1
1,1,0,0
2,2,0,0
3,3,25,66.837
4,4,0,0
5,5,46,21.996
6,6,55,2.627
7,7,79,100
8,8,46,100
9,9,0,0
10,10,85,100
11,11,0,0
12,12,46,99.206
13,13,98,96.985
14,14,0,0
15,15,154,33.63
16,16,131,99.105
17,17,45,7.803
18,18,184,100
19,19,200,28.752
20,20,206,97.741
21,255,255,12.129
1,1,74,28
2,2,13,26.688
3,3,19,42.96
4,4,21,81.55
5,5,20,35.125
6,6,0,0
7,7,29,39.167
8,8,27,42.654
9,9,28,2.219
10,10,0,0
11,11,0,0
12,12,0,0
13,13,35,13.6
14,14,35,1.724
15,15,35,86.434
16,16,44,94.715
17,17,0,0
18,18,46,64.194
19,19,35,83.71
20,20,0,0
21,21,85,2.857
22,22,35,41.909
23,23,0,0
24,24,0,0
25,25,4,87.193
26,26,0,0
27,27,64,16.809
28,28,38,68.015
29,29,78,58.61
30,30,0,0
31,31,81,50.487
32,32,48,27.612
33,33,0,0
34,34,0,0
35,35,68,34.538
36,36,68,61.244
37,37,0,0
38,38,63,10
39,39,19,5.742
40,40,0,0
41,41,93,3.265
42,42,35,37.297
43,43,96,34.426
44,44,0,0
45,45,53,55.378
46,46,62,100
47,47,39,84.08
48,48,0,0
49,49,86,91.336
50,50,0,0
51,51,123,10.569
52,52,0,0
53,53,0,0
54,54,134,69.106
55,55,0,0
56,56,0,0
57,57,0,0
58,58,137,81.505
59,59,6,66.239
60,60,0,0
61,61,0,0
62,62,0,0
63,63,153,64.762
64,64,65,54.693
65,65,0,0
66,66,82,38.494
67,255,35,2.977
1,1,0,0
2,2,17,45.972
3,3,18,97.143
4,4,50,3.974
5,5,0,0
6,6,0,0
7,7,0,0
8,8,43,34.097
9,9,44,41.55
10,10,41,6.933
11,11,0,0
12,12,0,0
13,13,0,0
14,14,65,38.158
15,15,93,29.919
16,16,0,0
17,17,65,5.1
18,18,38,44.017
19,19,0,0
20,20,91,75.743
21,21,93,3.704
22,22,0,0
23,23,97,79.548
24,24,41,91.393
25,25,0,0
26,26,0,0
27,27,87,100
28,28,255,0.048
29,29,102,54.699
30,30,38,81.191
31,31,119,43.774
32,32,136,14.322
33,33,131,89.423
34,34,0,0
35,35,0,0
36,36,123,66.807
37,37,0,0
38,38,0,0
39,39,0,0
40,40,0,0
41,255,38,3.043
1,1,0,0
2,2,17,37.563
3,3,19,48.466
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,31,4.402
9,9,0,0
10,10,15,63.544
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,67,81.848
16,16,0,0
17,17,0,0
18,18,0,0
19,19,47,4.271
20,20,51,96.571
21,21,0,0
22,22,54,92.76
23,23,56,81.773
24,24,31,0.762
25,25,5,88.571
26,26,65,100
27,27,76,97.586
28,28,94,96.094
29,29,0,0
30,30,80,98.256
31,31,87,97.518
32,32,90,96.916
33,33,95,0.896
34,34,60,70.439
35,35,50,17.375
36,36,0,0
37,37,0,0
38,255,255,9.652
1,1,19,97.187
2,2,0,0
3,3,45,89.491
4,4,28,0.132
5,5,22,99.252
6,6,0,0
7,7,62,98.544
8,8,102,99.251
9,9,103,99.667
10,10,47,100
11,255,22,10.692
,,1,0
1,1,15,97.214
2,2,0,0
3,3,0,0
4,4,20,100
5,5,19,100
6,6,42,100
7,7,16,100
8,8,99,96.19
9,255,42,15.517
1,1,45,98.73
2,2,53,58.568
3,3,82,97.79
4,255,45,21.622
1,1,6,92.64
2,2,11,99.467
3,3,23,98.15
4,4,70,99.28
5,5,0,0
6,6,37,100
7,255,70,18.182
1,1,5,98.574
2,2,6,100
3,3,18,100
4,4,15,100
5,5,23,96.164
6,6,0,0
7,7,24,97.647
8,8,2,100
9,9,0,0
10,10,40,100
11,11,42,98.182
12,12,46,97.762
13,13,0,0
14,14,0,0
15,15,54,100
16,255,255,16.423
,,1,0
1,1,0,0
2,2,2,2.298
3,3,0,0
4,4,4,92.729
5,5,23,6.162
6,6,5,22.613
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,9,99.442
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,11,17.594
21,21,0,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,13,0.793
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,33,7,90.859
34,34,0,0
35,35,0,0
36,36,0,0
37,37,0,0
38,38,0,0
39,39,0,0
40,40,0,0
41,41,0,0
42,42,21,1.747
43,43,0,0
44,44,0,0
45,45,0,0
46,46,0,0
47,47,17,8.675
48,48,0,0
49,49,25,3.293
50,50,0,0
51,51,0,0
52,52,0,0
53,53,0,0
54,54,0,0
55,55,0,0
56,56,30,86.364
57,57,54,3.546
58,58,0,0
59,59,0,0
60,60,48,100
61,61,0,0
62,62,42,69.16
63,63,0,0
64,64,0,0
65,65,0,0
66,66,0,0
67,67,50,87.408
68,68,0,0
69,69,0,0
70,70,0,0
71,71,0,0
72,72,0,0
73,73,0,0
74,255,255,2.586
1,1,0,0
2,2,0,0
3,3,7,2.115
4,4,4,87.065
5,5,0,0
6,6,4,87.454
7,7,0,0
8,8,14,100
9,9,0,0
10,10,14,99.868
11,11,0,0
12,12,16,11.994
13,13,22,99.265
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,40,22.073
21,21,0,0
22,22,42,43.646
23,23,0,0
24,24,0,0
25,25,34,79.981
26,26,54,8.1
27,27,51,100
28,28,0,0
29,29,71,22.932
30,30,34,68.223
31,31,54,16.667
32,32,0,0
33,33,14,23.83
34,34,0,0
35,35,0,0
36,36,69,54.142
37,37,81,42.922
38,38,82,33.555
39,39,75,17.409
40,40,81,1.408
41,41,62,5.703
42,42,0,0
43,43,95,97.047
44,44,96,13.591
45,45,4,99.48
46,46,0,0
47,47,0,0
48,48,0,0
49,49,0,0
50,50,0,0
51,255,4,5.234
1,1,14,44.7
2,2,22,98.802
3,3,31,100
4,4,31,59.481
5,5,31,95.633
6,6,31,100
7,7,52,61.576
8,8,0,0
9,9,255,1.571
10,10,31,27.727
11,11,88,49.321
12,12,76,0.469
13,13,47,97.33
14,14,39,3.286
15,15,139,83.271
16,16,38,100
17,17,126,100
18,255,31,14.019
1,1,4,100
2,2,6,73.888
3,3,6,8.654
4,4,30,72.768
5,5,36,91.053
6,6,52,98.206
7,7,45,77.079
8,8,45,93.836
9,9,45,12.464
10,10,45,93.796
11,11,45,72.174
12,12,45,93.625
13,13,0,0
14,14,28,100
15,15,45,34.624
16,16,68,99.588
17,17,45,100
18,18,45,23.58
19,19,45,97.122
20,20,6,11.579
21,21,92,100
22,22,47,100
23,23,45,100
24,24,0,0
25,25,82,69.87
26,26,45,47.258
27,27,142,92.411
28,28,169,100
29,29,72,100
30,30,105,99.631
31,31,45,100
32,32,181,100
33,255,45,15.405
1,1,1,100
2,2,14,97.409
3,3,34,100
4,4,55,100
