Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,21.225,67.508,263,258,1480038,5627.521,711.985,5545,4500,6935,660.274,235.106,2.091,1.606,0.639,1.528,660.327,235.214,2.085,654,225,1,14,22,3
2,18.481,63.24,229,223,1340785,5854.957,1205.644,5509,4518,9481,618.537,309.188,1.314,1.539,0.694,1.389,618.244,309.129,1.302,608,301,1,23,15,3
3,16.14,51.437,200,197,1086751,5433.755,740.689,5230.5,4504,7199,657.93,340.2,2.005,1.338,0.44,1.341,657.853,340.081,2.039,652,333,1,14,13,3
4,18.239,56.202,226,217,1406155,6221.925,1642.402,5589.5,4508,10213,620.513,436.695,2.004,1.509,0.513,1.458,620.582,436.795,2.011,613,432,1,18,10,3
5,44.225,141.581,548,484,3093249,5644.615,1212.046,5196,4501,10172,535.124,528.347,3.429,2.385,0.952,2.21,535.394,528.22,3.375,521,518,1,29,21,6
6,133.077,287.54,1649,1258,12560439,7617.003,2438.336,7102,4502,15392,712.594,647.275,2.23,3.421,1.077,3.426,712.407,646.449,2.105,698,627,1,26,41,4
7,22.677,59.288,281,241,2088973,7434.067,2348.92,6702,4501,12774,319.139,369.751,3.214,1.448,0.338,1.46,319.036,369.838,3.254,314,363,2,12,15,3
8,51.73,129.082,641,576,5223591,8149.128,2833.44,7739,4529,17490,589.51,652.218,3.916,2.499,1.037,2.435,589.897,651.992,3.929,574,643,2,30,22,4
9,54.393,113.651,674,443,7204913,10689.782,6806.012,7942,4508,33645,632.822,740.279,3.865,2.087,0.399,2.104,633.067,740.432,3.738,624,732,2,18,18,5
10,19.046,56.131,236,210,1499948,6355.712,1343.503,6141,4502,9895,306.627,704.195,3.86,1.512,0.498,1.386,306.485,704.185,3.844,301,698,3,17,12,3
11,48.583,156.307,602,474,3377832,5611.017,725.258,5517,4514,7563,101.691,557.121,6.447,2.728,0.785,2.7,101.745,557.137,6.448,89,545,4,21,27,6
12,30.586,88.542,379,329,2484592,6555.652,1685.467,6124,4509,11246,705.815,583.142,6.219,2.122,0.821,2.067,706.211,583.284,6.279,694,577,4,22,15,5
13,16.14,48.907,200,200,1226145,6130.725,1082.046,6070,4518,8190,503.745,745.835,4.585,1.32,0.483,1.269,503.748,745.866,4.605,498,740,4,13,15,2
14,17.432,66.435,216,212,1115079,5162.403,476.273,5121,4500,6101,557.255,59.333,7.542,1.941,0.788,1.863,557.272,59.265,7.555,551,48,6,12,23,3
