Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,155.512,278.223,1927,1306,11909363,6180.261,1731.631,5959,3724,10864,502.519,51.225,2.895,3.984,1.546,3.816,502.976,51.984,2.82,485,26,1,30,49,5
2,332.734,678.636,4123,2946,26633456,6459.728,2788.944,5633,3723,26250,629.627,93.67,3.892,5.13,1.748,5.238,629.119,94.803,3.545,598,72,1,53,49,10
3,66.095,157.647,819,819,6271842,7657.927,3639.606,6510,3726,19331,426.048,107.368,1.281,2.527,1.01,2.538,426.398,108.157,1.26,410,93,1,29,29,2
4,55.684,171.364,690,636,3441308,4987.403,1170.498,4659.5,3724,8841,572.612,108.752,2.17,3.587,1.486,3.807,572.111,109.237,2.128,554,91,1,35,36,4
5,113.87,293.513,1411,1140,7047745,4994.858,1314.936,4519,3723,10070,472.405,162.32,2.233,3.569,1.792,3.249,472.22,162.148,2.306,459,127,1,29,60,4
6,42.933,110.327,532,522,3696337,6948.002,3225.18,6138,3723,18922,272.633,142.893,1.41,2.145,0.971,1.972,272.242,143.019,1.332,264,129,1,22,28,3
7,95.47,206.069,1183,1123,6867207,5804.909,1583.69,5386,3723,10897,502.527,175.483,1.47,2.96,1.277,2.832,502.11,175.994,1.451,490,156,1,34,40,4
8,24.614,69.503,305,305,1641692,5382.597,1100.232,5164,3728,8272,672.331,198.154,1.262,1.68,0.572,1.723,672.384,197.999,1.279,665,190,1,18,16,2
9,89.498,296.939,1109,1053,5451867,4916.021,1317.564,4492,3725,10147,663.963,208.955,4.821,3.75,1.413,3.556,664.553,208.826,5.084,649,191,1,37,42,8
10,109.351,251.182,1355,953,7465428,5509.541,1437.863,5180,3723,10256,219.613,213.372,5.255,3.163,0.949,3.176,219.6,213.432,5.278,204,199,1,33,34,8
11,107.253,256.969,1329,1166,8057904,6063.133,2746.35,5014,3728,18934,276.575,246.309,2.743,2.978,1.044,3.026,276.384,247.437,2.654,262,229,1,32,33,5
12,17.27,63.627,214,214,984290,4599.486,735.722,4417,3728,6775,385.341,249.341,1.192,1.867,0.909,1.793,385.309,249.405,1.17,379,235,1,13,26,2
13,20.256,65.816,251,238,1396055,5561.972,1304.518,5351,3730,8563,444.948,256.992,1.39,1.669,0.648,1.692,444.899,256.814,1.348,434,251,1,20,12,3
14,77.877,216.991,965,796,4810622,4985.101,1305.414,4537,3723,10126,526.314,269.579,2.037,3.409,1.583,3.039,525.749,270.436,2.056,508,252,1,38,43,4
15,16.382,54.485,203,203,1384907,6822.202,3303.813,5395,3726,15615,481.576,266.547,1.256,1.504,0.725,1.322,482.465,266.774,1.179,470,261,1,22,13,2
16,152.204,341.743,1886,1883,18313014,9709.976,5267.571,7989.5,3726,27560,349.957,303.05,1.403,3.897,1.751,3.746,350.196,302.006,1.237,330,267,1,43,62,4
17,3045.85,4643.995,37742,21379,308602112,8176.623,4861.169,6524,3723,37453,561.837,348.394,6.492,15.03,6.96,13.925,562.896,352.738,6.8,466,264,1,162,181,13
18,231.13,534.725,2864,2258,15004195,5238.895,1591.029,4745,3723,13697,681.409,283.9,3.276,4.577,2.046,4.075,680.681,283.907,3.347,652,266,1,63,34,6
19,65.611,172.727,813,780,4535579,5578.818,1931.898,4962,3724,14528,214.062,287.761,1.525,3.119,1.314,3.147,214.196,288.765,1.457,202,271,1,23,39,3
20,22.758,83.183,282,271,1279943,4538.805,574.772,4473,3724,6019,639.865,283.83,2.27,1.814,0.775,1.766,639.85,283.731,2.261,629,276,1,20,18,4
21,17.432,59.049,216,189,1128385,5224.004,1437.252,4716,3728,9621,127.241,292.843,2.301,1.478,0.431,1.452,127.149,292.849,2.292,120,287,1,17,12,4
22,47.614,149.755,590,559,3197330,5419.204,1447.342,4947,3723,9631,412.629,313.27,1.459,2.507,1.183,2.2,412.546,313.538,1.442,398,297,1,26,34,4
23,74.246,162.087,920,750,5591205,6077.397,2010.432,5464,3724,13096,687.406,316.662,1.908,2.428,0.819,2.418,687.787,316.876,1.813,678,305,1,27,25,5
24,21.628,72.498,268,235,1372772,5122.284,1383.195,4519,3728,9418,460.455,314.104,3.825,1.637,0.513,1.534,460.376,314.314,3.894,454,306,1,15,18,5
25,62.06,167.284,769,683,3820195,4967.744,1279.201,4641,3728,11847,662.918,336.191,1.762,2.651,1.144,2.504,663.176,336.454,1.76,647,322,1,31,29,4
26,89.579,248.306,1110,1045,7520630,6775.342,3214.095,5698,3724,19434,396.748,350.169,2.01,3.284,1.49,3.24,396.705,349.4,2.075,380,328,1,35,44,4
27,752.383,1580.582,9323,7038,61494984,6596.051,3281.655,5455,3723,24308,382.588,418.588,3.859,10.644,6.205,8.504,384.246,422.667,3.845,345,324,1,81,153,12
28,56.168,171.726,696,654,3103931,4459.671,696.4,4200,3726,6929,667.585,363.734,2.513,2.78,1.209,2.536,667.403,363.854,2.552,655,348,1,28,35,4
